Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_H_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_CH3_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H5_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H3_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C3H8_Soln#6 (),Mole_fraction_IC3H7_Soln#6 (),Mole_fraction_NC3H7_Soln#6 (),Mole_fraction_C3H6_Soln#6 (),Mole_fraction_C3H5-A_Soln#6 (),Mole_fraction_C3H4-P_Soln#6 (),Mole_fraction_C3H4-A_Soln#6 (),Mole_fraction_NC4H10_Soln#6 (),Mole_fraction_PC4H9_Soln#6 (),Mole_fraction_IC4H10_Soln#6 (),Mole_fraction_IC4H8_Soln#6 (),Mole_fraction_IC4H7_Soln#6 (),Mole_fraction_C4H8-1_Soln#6 (),Mole_fraction_C4H8-2_Soln#6 (),Mole_fraction_C4H71-3_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C4H4_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_C5H6_Soln#6 (),Mole_fraction_MCPTD_Soln#6 (),Mole_fraction_NC5H12_Soln#6 (),Mole_fraction_NC5H10_Soln#6 (),Mole_fraction_B1M2_Soln#6 (),Mole_fraction_B1M3_Soln#6 (),Mole_fraction_B2M2_Soln#6 (),Mole_fraction_LC5H8_Soln#6 (),Mole_fraction_DIALLYL_Soln#6 (),Mole_fraction_CYC6H8_Soln#6 (),Mole_fraction_CYC6H10_Soln#6 (),Mole_fraction_NC6H12_Soln#6 (),Mole_fraction_NC7H14_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_XYLENE_Soln#6 (),Mole_fraction_C6H5C2H4C6H5_Soln#6 (),Mole_fraction_NPBENZ_Soln#6 (),Mole_fraction_NC12H26_Soln#6 (),Mole_fraction_NC16H34_Soln#6 (),Mole_fraction_NC10H20_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
1.617596E-6,15.68845,-9.411606E9,1247.788,1247.788,0.001444066,1.0,0.950544,1.453353E-5,3.026775E-5,1.022432E-4,2.32682E-5,9.711849E-5,4.082954E-4,1.079806E-6,1.535241E-7,3.153371E-6,1.124156E-6,1.030306E-5,2.008397E-4,6.356181E-5,6.747078E-9,1.605519E-7,1.66645E-6,4.797446E-6,1.166684E-8,1.503661E-10,8.150977E-9,7.6007E-5,5.828664E-7,4.89149E-5,3.870503E-5,4.909607E-10,7.759043E-7,3.185847E-9,9.535522E-12,1.860106E-7,5.771567E-5,1.018857E-10,1.28843E-7,4.181467E-11,1.963951E-5,3.434258E-7,4.721644E-11,2.275553E-11,1.070285E-5,5.655949E-5,0.004073935,1.979036E-6,2.430682E-12,9.821916E-9,2.138067E-9,8.192866E-12,8.231183E-9,0.01095323,0.006572424,0.02657899,9.424631,9.204608E-5,534508.6,534508.6
1.666354E-6,15.68811,-9.456789E9,1247.709,1247.709,0.001444066,1.0,0.9505075,1.483763E-5,3.22921E-5,1.056286E-4,2.453568E-5,9.885496E-5,4.264734E-4,1.130496E-6,1.667271E-7,3.361473E-6,1.153447E-6,1.040616E-5,2.093668E-4,6.545317E-5,7.234164E-9,1.713604E-7,1.779153E-6,4.832148E-6,1.280908E-8,1.698443E-10,9.071852E-9,7.908043E-5,6.229851E-7,5.015919E-5,4.091506E-5,5.626836E-10,8.196027E-7,3.559281E-9,1.053839E-11,1.983953E-7,6.017644E-5,1.116538E-10,1.410843E-7,4.634147E-11,2.075223E-5,3.758485E-7,5.550566E-11,2.527042E-11,1.10647E-5,5.925831E-5,0.004073607,2.088199E-6,2.823528E-12,1.053111E-8,2.301998E-9,9.325203E-12,9.134054E-9,0.01094996,0.006569719,0.02657043,9.424231,9.204803E-5,534485.9,534485.9
1.711817E-6,15.68781,-9.496393E9,1247.635,1247.635,0.001444066,1.0,0.9504732,1.511434E-5,3.423848E-5,1.087684E-4,2.573874E-5,1.004234E-4,4.436325E-4,1.178055E-6,1.796324E-7,3.56258E-6,1.180288E-6,1.049976E-5,2.174154E-4,6.720232E-5,7.707651E-9,1.817773E-7,1.887636E-6,4.863606E-6,1.39348E-8,1.896885E-10,9.991397E-9,8.197997E-5,6.617049E-7,5.130562E-5,4.301956E-5,6.364054E-10,8.611458E-7,3.933925E-9,1.153783E-11,2.102869E-7,6.250176E-5,1.212944E-10,1.531395E-7,5.086291E-11,2.181025E-5,4.077754E-7,6.425018E-11,2.779348E-11,1.140342E-5,6.18131E-5,0.004073296,2.191768E-6,3.233857E-12,1.122364E-8,2.461137E-9,1.048644E-11,1.003419E-8,0.01094687,0.006567172,0.02656237,9.423855,9.204984E-5,534464.6,534464.6
1.765413E-6,15.68745,-9.540042E9,1247.547,1247.547,0.001444066,1.0,0.9504323,1.543223E-5,3.660561E-5,1.124474E-4,2.718269E-5,1.022113E-4,4.641139E-4,1.234437E-6,1.955923E-7,3.808468E-6,1.21135E-6,1.060703E-5,2.270223E-4,6.924569E-5,8.290262E-9,1.944776E-7,2.019694E-6,4.899602E-6,1.533847E-8,2.153023E-10,1.115345E-8,8.543954E-5,7.089735E-7,5.26401E-5,4.555381E-5,7.323735E-10,9.110861E-7,4.409704E-9,1.279889E-11,2.247276E-7,6.528065E-5,1.333368E-10,1.68162E-7,5.658086E-11,2.308235E-5,4.475544E-7,7.594056E-11,3.099939E-11,1.180432E-5,6.487129E-5,0.004072925,2.316002E-6,3.776974E-12,1.208016E-8,2.656591E-9,1.199514E-11,1.116991E-8,0.0109432,0.006564139,0.02655276,9.423407,9.205196E-5,534439.2,534439.2
1.803202E-6,15.68719,-9.568908E9,1247.484,1247.484,0.001444066,1.0,0.9504033,1.565106E-5,3.832148E-5,1.150257E-4,2.821702E-5,1.034331E-4,4.787143E-4,1.274365E-6,2.07335E-7,3.987574E-6,1.232877E-6,1.068069E-5,2.33871E-4,7.067368E-5,8.717188E-9,2.037046E-7,2.115486E-6,4.924284E-6,1.637867E-8,2.348871E-10,1.202495E-8,8.790521E-5,7.433578E-7,5.356989E-5,4.73746E-5,8.062766E-10,9.4691E-7,4.76813E-9,1.374368E-11,2.351804E-7,6.726391E-5,1.422777E-10,1.792895E-7,6.087346E-11,2.3995E-5,4.770143E-7,8.515854E-11,3.341672E-11,1.208797E-5,6.705687E-5,0.00407266,2.404937E-6,4.201519E-12,1.271093E-8,2.799523E-9,1.315531E-11,1.202047E-8,0.01094058,0.006561982,0.02654591,9.423088,9.205344E-5,534421.1,534421.1
1.846065E-6,15.68691,-9.599778E9,1247.414,1247.414,0.001444066,1.0,0.9503701,1.589402E-5,4.031438E-5,1.179331E-4,2.940607E-5,1.04781E-4,4.954302E-4,1.3198E-6,2.211497E-7,4.196487E-6,1.256918E-6,1.076231E-5,2.417127E-4,7.228009E-5,9.217878E-9,2.144429E-7,2.226797E-6,4.951593E-6,1.760982E-8,2.587139E-10,1.306718E-8,9.072797E-5,7.83411E-7,5.461333E-5,4.947321E-5,8.967101E-10,9.881425E-7,5.198478E-9,1.487289E-11,2.473051E-7,6.953697E-5,1.528798E-10,1.924561E-7,6.601298E-11,2.504556E-5,5.118656E-7,9.667212E-11,3.632234E-11,1.241065E-5,6.956452E-5,0.004072357,2.507111E-6,4.727873E-12,1.34541E-8,2.966803E-9,1.457356E-11,1.303643E-8,0.01093759,0.006559515,0.02653808,9.422724,9.205511E-5,534400.4,534400.4
1.884599E-6,15.68665,-9.625895E9,1247.35,1247.35,0.001444066,1.0,0.9503401,1.610778E-5,4.214795E-5,1.205309E-4,3.048906E-5,1.059593E-4,5.105951E-4,1.360758E-6,2.340204E-7,4.389513E-6,1.278196E-6,1.083397E-5,2.488275E-4,7.37119E-5,9.683075E-9,2.243423E-7,2.329246E-6,4.975532E-6,1.87635E-8,2.816598E-10,1.40538E-8,9.328891E-5,8.203737E-7,5.554131E-5,5.138954E-5,9.842681E-10,1.025741E-6,5.607487E-9,1.594151E-11,2.584455E-7,7.160141E-5,1.628351E-10,2.047919E-7,7.088509E-11,2.600363E-5,5.445096E-7,1.080453E-10,3.908767E-11,1.270158E-5,7.184424E-5,0.004072081,2.600107E-6,5.244113E-12,1.414792E-8,3.121866E-9,1.594566E-11,1.399707E-8,0.01093487,0.006557282,0.02653098,9.422394,9.205661E-5,534381.7,534381.7
1.942579E-6,15.68627,-9.662361E9,1247.253,1247.253,0.001444066,1.0,0.9502945,1.642125E-5,4.498112E-5,1.244094E-4,3.214294E-5,1.076737E-4,5.336503E-4,1.422537E-6,2.541984E-7,4.689256E-6,1.309615E-6,1.093876E-5,2.596461E-4,7.584334E-5,1.041038E-8,2.396748E-7,2.487587E-6,5.010479E-6,2.058409E-8,3.190559E-10,1.562927E-8,9.718305E-5,8.77691E-7,5.691954E-5,5.432482E-5,1.127802E-9,1.083238E-6,6.2637E-9,1.764784E-11,2.756312E-7,7.474427E-5,1.785871E-10,2.242562E-7,7.86803E-11,2.746888E-5,5.959996E-7,1.271294E-10,4.353298E-11,1.314075E-5,7.531839E-5,0.004071662,2.741994E-6,6.103318E-12,1.52391E-8,3.363557E-9,1.819355E-11,1.552897E-8,0.01093076,0.006553892,0.02652021,9.421893,9.205884E-5,534353.4,534353.4
1.980856E-6,15.68602,-9.684632E9,1247.189,1247.189,0.001444066,1.0,0.9502642,1.662291E-5,4.690006E-5,1.26949E-4,3.325042E-5,1.087681E-4,5.490227E-4,1.463396E-6,2.680576E-7,4.893262E-6,1.329966E-6,1.100599E-5,2.668611E-4,7.723492E-5,1.090881E-8,2.500836E-7,2.594845E-6,5.032857E-6,2.184232E-8,3.457278E-10,1.673063E-8,9.978034E-5,9.166572E-7,5.781752E-5,5.629611E-5,1.230712E-9,1.121789E-6,6.724573E-9,1.884098E-11,2.872518E-7,7.684273E-5,1.895045E-10,2.377078E-7,8.414157E-11,2.845141E-5,6.315696E-7,1.411211E-10,4.666185E-11,1.343159E-5,7.764013E-5,0.004071382,2.836911E-6,6.728445E-12,1.599142E-8,3.528643E-9,1.980463E-11,1.659848E-8,0.01092801,0.006551636,0.02651303,9.42156,9.20603E-5,534334.5,534334.5
2.034877E-6,15.68568,-9.713704E9,1247.099,1247.099,0.001444066,1.0,0.9502212,1.690049E-5,4.967335E-5,1.305035E-4,3.483397E-5,1.102632E-4,5.70917E-4,1.52112E-6,2.883507E-7,5.189448E-6,1.358166E-6,1.109827E-5,2.771396E-4,7.917722E-5,1.163735E-8,2.651595E-7,2.749851E-6,5.063519E-6,2.369504E-8,3.861993E-10,1.836992E-8,1.034811E-4,9.731487E-7,5.906881E-5,5.912252E-5,1.387584E-9,1.176978E-6,7.413622E-9,2.061785E-11,3.040186E-7,7.983557E-5,2.056277E-10,2.575168E-7,9.22895E-11,2.985809E-5,6.839259E-7,1.629019E-10,5.135088E-11,1.384321E-5,8.095387E-5,0.004070983,2.972487E-6,7.694704E-12,1.709769E-8,3.769122E-9,2.226022E-11,1.818844E-8,0.01092411,0.006548428,0.02650281,9.421087,9.206235E-5,534307.6,534307.6
2.095147E-6,15.68529,-9.743009E9,1246.998,1246.998,0.001444066,1.0,0.9501727,1.720071E-5,5.285642E-5,1.344264E-4,3.662824E-5,1.118652E-4,5.956098E-4,1.58555E-6,3.120097E-7,5.531282E-6,1.388913E-6,1.119773E-5,2.887357E-4,8.131345E-5,1.24854E-8,2.825092E-7,2.927721E-6,5.096484E-6,2.586933E-8,4.354673E-10,2.03189E-8,1.076576E-4,1.038246E-6,6.044271E-5,6.233568E-5,1.579521E-9,1.239601E-6,8.237356E-9,2.273252E-11,3.232228E-7,8.321676E-5,2.246231E-10,2.807687E-7,1.020077E-10,3.145435E-5,7.453421E-7,1.90229E-10,5.697438E-11,1.430399E-5,8.470052E-5,0.004070533,3.12589E-6,8.896992E-12,1.839519E-8,4.047775E-9,2.526511E-11,2.0076E-8,0.01091972,0.006544817,0.02649129,9.420555,9.206461E-5,534277.4,534277.4
2.151539E-6,15.68493,-9.767566E9,1246.903,1246.903,0.001444066,1.0,0.9501271,1.747275E-5,5.591873E-5,1.38054E-4,3.833252E-5,1.133028E-4,6.189583E-4,1.645806E-6,3.351257E-7,5.861958E-6,1.417006E-6,1.128752E-5,2.997048E-4,8.328198E-5,1.331313E-8,2.992452E-7,3.098772E-6,5.126167E-6,2.800713E-8,4.857257E-10,2.226012E-8,1.116099E-4,1.101132E-6,6.170708E-5,6.539776E-5,1.776211E-9,1.299165E-6,9.062389E-9,2.484167E-11,3.416584E-7,8.641961E-5,2.433795E-10,3.036379E-7,1.117216E-10,3.297275E-5,8.057011E-7,2.189333E-10,6.262665E-11,1.473651E-5,8.825185E-5,0.004070107,3.271375E-6,1.014982E-11,1.96716E-8,4.318401E-9,2.834571E-11,2.195332E-8,0.01091557,0.006541408,0.02648042,9.420052,9.206671E-5,534248.9,534248.9
2.203812E-6,15.6846,-9.787963E9,1246.815,1246.815,0.001444066,1.0,0.9500844,1.771748E-5,5.882886E-5,1.413785E-4,3.993351E-5,1.145846E-4,6.408044E-4,1.701594E-6,3.574001E-7,6.177761E-6,1.442473E-6,1.1368E-5,3.099721E-4,8.508008E-5,1.411033E-8,3.151879E-7,3.261234E-6,5.152706E-6,3.007842E-8,5.360901E-10,2.416315E-8,1.153112E-4,1.161119E-6,6.286098E-5,6.82829E-5,1.97405E-9,1.35519E-6,9.875353E-9,2.691254E-11,3.591417E-7,8.942139E-5,2.616288E-10,3.258046E-7,1.212779E-10,3.440097E-5,8.64159E-7,2.484525E-10,6.821563E-11,1.513858E-5,9.158186E-5,0.004069708,3.407833E-6,1.142922E-11,2.091009E-8,4.577779E-9,3.144623E-11,2.379128E-8,0.01091169,0.006538224,0.02647025,9.419583,9.206863E-5,534222.3,534222.3
2.241017E-6,15.68437,-9.801138E9,1246.752,1246.752,0.001444066,1.0,0.9500539,1.788738E-5,6.094154E-5,1.437215E-4,4.108507E-5,1.154677E-4,6.564679E-4,1.741239E-6,3.737518E-7,6.407941E-6,1.460265E-6,1.14237E-5,3.173363E-4,8.634391E-5,1.469553E-8,3.267846E-7,3.379113E-6,5.171032E-6,3.160548E-8,5.742523E-10,2.55795E-8,1.179671E-4,1.204793E-6,6.367165E-5,7.036311E-5,2.124368E-9,1.395527E-6,1.048296E-8,2.845609E-11,3.718123E-7,9.157667E-5,2.751319E-10,3.421534E-7,1.28412E-10,3.542928E-5,9.072425E-7,2.71281E-10,7.240531E-11,1.542537E-5,9.397356E-5,0.004069422,3.505854E-6,1.241324E-11,2.182482E-8,4.767379E-9,3.380354E-11,2.515776E-8,0.01090891,0.006535944,0.02646296,9.419247,9.206999E-5,534203.3,534203.3
2.299323E-6,15.68401,-9.819646E9,1246.653,1246.653,0.001444066,1.0,0.9500058,1.814663E-5,6.432105E-5,1.473537E-4,4.290938E-5,1.168046E-4,6.812016E-4,1.803231E-6,4.002134E-7,6.77767E-6,1.487597E-6,1.15084E-5,3.289693E-4,8.829745E-5,1.564276E-8,3.453728E-7,3.567545E-6,5.198834E-6,3.408743E-8,6.381074E-10,2.790459E-8,1.221649E-4,1.274884E-6,6.492444E-5,7.366693E-5,2.376542E-9,1.459495E-6,1.148489E-8,3.099444E-11,3.920427E-7,9.498508E-5,2.971676E-10,3.687382E-7,1.401634E-10,3.706002E-5,9.772408E-7,3.102932E-10,7.933697E-11,1.587583E-5,9.775689E-5,0.00406897,3.660906E-6,1.408543E-11,2.331536E-8,5.072849E-9,3.776159E-11,2.739846E-8,0.01090452,0.006532348,0.02645146,9.418718,9.207211E-5,534173.2,534173.2
